time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-15T18:10:10.060Z,12.3238,123.8662,20.088,6.1,mww,148,47,5.487,0.54,us,us6000jp76,2023-02-16T18:24:52.918Z,"10 km NNE of Miaga, Philippines",earthquake,8.61,4.399,0.037,71,reviewed,us,us
2023-02-15T07:27:06.530Z,19.1136666666667,-155.407166666667,31.75,4.78,ml,45,185,,0.11,hv,hv73325052,2023-02-16T18:58:36.945Z,"12 km SE of Pāhala, Hawaii",earthquake,0.47,0.61,0.13919640319702,29,reviewed,hv,hv
2023-02-14T13:16:51.072Z,45.1126,23.1781,10,5.6,mww,132,28,1.197,0.4,us,us6000jnqz,2023-02-16T18:53:01.805Z,"2 km NW of Leleşti, Romania",earthquake,4.85,1.794,0.032,95,reviewed,us,us
2023-02-06T12:02:11.825Z,38.0605,36.537,10,6,mb,116,29,0.958,1,us,us6000jlrc,2023-02-13T02:19:17.352Z,"Central Turkey",earthquake,4.4,1.811,0.027,513,reviewed,us,us
2023-02-06T11:15:49.769Z,42.8605,-78.7853,5.677,3.8,mb_lg,23,114,0.389,0.47,us,us6000jlqv,2023-02-15T16:06:58.014Z,"1 km NE of West Seneca, New York",earthquake,2.18,7.439,0.208,6,reviewed,us,us
2023-02-06T10:24:49.258Z,38.0235,37.203,10,7.5,mww,135,17,0.85,0.93,us,us6000jlqa,2023-02-16T08:20:18.452Z,"4 km SSE of Ekinözü, Turkey",earthquake,4.94,1.824,0.041,58,reviewed,us,us
2023-02-06T01:28:15.984Z,37.1784,36.9468,10.708,6.7,mww,192,19,0.21,0.57,us,us6000jlm1,2023-02-15T04:03:35.353Z,"18 km E of Nurdağı, Turkey",earthquake,8.97,3.408,0.098,10,reviewed,us,us
2023-02-06T01:26:50.760Z,37.2241,36.9749,10,5.7,mb,97,75,0.194,1.33,us,us6000jlnn,2023-02-15T03:13:13.851Z,"central Turkey",earthquake,5.4,1.828,0.072,69,reviewed,us,us
2023-02-06T01:17:35.525Z,37.1662,37.0421,17.943,7.8,mww,216,17,0.134,0.67,us,us6000jllz,2023-02-16T12:53:52.089Z,"central Turkey",earthquake,6.27,3.278,0.05,38,reviewed,us,us
2023-02-01T11:11:17.009Z,17.948,-70.3792,46.555,5,mwr,235,23,0.675,0.54,us,us6000jkqk,2023-02-15T06:18:10.563Z,"32 km S of Matanzas, Dominican Republic",earthquake,5.25,4.881,0.042,55,reviewed,us,us
2023-01-28T18:14:45.863Z,38.4239,44.9091,16,5.9,mww,235,31,1.459,0.75,us,us6000jk0t,2023-02-04T04:28:47.132Z,"14 km SSW of Khowy, Iran",earthquake,4.81,1.793,0.045,48,reviewed,us,us
2023-01-25T19:49:44.478Z,29.729,101.9928,7,5.4,mww,127,20,6.529,0.83,us,us6000jj8s,2023-02-08T19:34:43.974Z,"30 km S of Kangding, China",earthquake,7.06,1.738,0.06,27,reviewed,us,us
2023-01-25T10:00:54.680Z,33.885,-118.7045,14.71,4.19,mw,155,134,0.1464,0.24,ci,ci40161279,2023-02-15T19:30:08.248Z,"16km S of Malibu Beach, CA",earthquake,0.25,0.35,,6,reviewed,ci,ci
2023-01-24T18:37:00.133Z,-26.7346,-63.118,596.117,6.4,mww,282,16,5.2,0.69,us,us6000jiyj,2023-02-03T01:28:14.587Z,"31 km WSW of Campo Gallo, Argentina",earthquake,7.65,2.796,0.035,79,reviewed,us,us
2023-01-20T22:09:39.043Z,-26.7513,-63.1017,596.733,6.8,mww,185,35,5.186,0.77,us,us7000j5x2,2023-02-07T03:14:50.979Z,"31 km SW of Campo Gallo, Argentina",earthquake,9.01,2.769,0.047,43,reviewed,us,us
2023-01-20T11:23:40.603Z,16.1397,-62.1529,162,6.1,mww,160,18,0.526,0.49,us,us7000j5sc,2023-02-13T18:23:05.297Z,"Leeward Islands",earthquake,5.48,1.874,0.039,63,reviewed,us,us
2023-01-18T10:08:14.083Z,38.4382,44.9433,18.523,5.7,mww,195,59,1.188,0.66,us,us7000j56z,2023-02-15T05:40:57.272Z,"12 km S of Khowy, Iran",earthquake,5.44,3.75,0.069,20,reviewed,us,us
2023-01-18T06:06:11.334Z,2.7357,127.0274,28.855,7,mwc,141,21,1.98,0.92,us,us7000j553,2023-02-15T07:36:51.119Z,"156 km NW of Tobelo, Indonesia",earthquake,6.7,3.063,0.027,133,reviewed,us,us
